,Task Name,INITIATE TASK DAY,Owner,Status,Priority,Depends On,Output Expected,Due Date,"Status (DONE, DELAYED, MODIFIED)",KPI AFTER MVP
1,Configurar auto-responder WhatsApp (mensaje bienvenida + kit),21-Jan,Fabiola,0,3,,Template aprobado por Meta,21-Jan,,
2,Diseñar kit bienvenida digital (tarjeta farmacia + guía rápida),21-Jan,Fabiola,0,3,,PDF/imagen lista,21-Jan,,
3,Crear Google Sheet tracking llamadas companion,23-Jan,Fabiola,0,2,,Sheet con columnas definidas,22-Jan,,
4,Escribir script llamada bienvenida a familia en México,23-Jan,Fabiola,0,3,,Script 1 página,22-Jan,,
5,TEST end-to-end: pago → DB → WhatsApp → kit bienvenida,24-Jan,Fabiola,0,4,T001|T002,Flujo completo funciona,23-Jan,,
6,Configurar Facebook Ads cuenta + pixel en sitio,24-Jan,Fabiola,0,3,,Pixel instalado,23-Jan,,
7,Crear 3 variantes de ad (video testimonial + copy diferente),25-Jan,Fabiola,0,3,T006,Ads listos,24-Jan,,
8,Publicar testimonial #1 en TikTok + Instagram + YouTube Shorts,25-Jan,Fabiola,0,2,,Posts live,24-Jan,,
9,Lanzar Facebook Ads ($30-50/día) - Arizona + Texas + California hispanics,26-Jan,Fabiola,0,4,T005|T007,Campaña live,25-Jan,,
10,Publicar testimonial #2 en redes orgánicas,26-Jan,Fabiola,0,2,,Posts live,25-Jan,,
11,Monitorear primeras métricas ads (CTR CPC),27-Jan,Fabiola,0,3,T009,Reporte día 1,26-Jan,,
12,Responder leads/preguntas que lleguen,27-Jan,Fabiola,0,3,T009,Leads atendidos,26-Jan,,
13,PRIMER PAGO ESPERADO - onboarding inmediato,28-Jan,Fabiola,0,4,T009,Usuario #1 activo,27-Jan,,
14,Llamar a familia en México del Usuario #1,28-Jan,Fabiola,0,4,T004|T013,Familia activada,27-Jan,,
15,Revisar métricas ads: CTR CPC conversiones,29-Jan,Fabiola,0,3,T009,Reporte día 1 ads,28-Jan,,
16,Onboarding usuarios nuevos (llamada 1:1 cada uno),29-Jan,Fabiola,0,4,T013,Usuarios activados,28-Jan,,
17,Llamar a familia en México de CADA usuario nuevo,30-Jan,Fabiola,0,4,T004|T016,Familias activadas,29-Jan,,
18,Ajustar ads: pausar variante peor escalar mejor,30-Jan,Fabiola,0,3,T015,Optimización v1,29-Jan,,
19,Agendar primera consulta médica para usuarios (<7 días),31-Jan,Fabiola,0,4,T016,Citas confirmadas,30-Jan,,
20,Primera llamada companion a usuarios día 8 (documentar todo),31-Jan,Fabiola,0,3,T003|T016,Sheet actualizado,30-Jan,,
21,Publicar testimonial #3 en redes,1-Feb,Fabiola,0,2,,Posts live,31-Jan,,
22,Crear contenido nuevo basado en preguntas de usuarios,1-Feb,Fabiola,0,2,T020,2 posts nuevos,31-Jan,,
23,Llamadas companion a todos los usuarios activos,2-Feb,Fabiola,0,3,T003,~10-15 llamadas,1-Feb,,
24,Verificar: ¿primeras consultas médicas ocurrieron?,2-Feb,Fabiola,0,3,T019,Feedback documentado,1-Feb,,
25,Segunda ronda de llamadas a familias México,3-Feb,Fabiola,0,3,T017,Familias engaged,2-Feb,,
26,Revisar: ¿quién NO agendó consulta? Llamar y preguntar por qué,3-Feb,Fabiola,0,3,T024,Barreras identificadas,2-Feb,,
27,CHECKPOINT SEMANA 2: ¿15-20 usuarios? ¿Consultas agendadas?,4-Feb,Fabiola,0,4,,Reporte semanal,3-Feb,,
28,Decisión: ¿aumentar budget ads o mantener?,4-Feb,Fabiola,0,3,T027,Budget semana 3,3-Feb,,
29,Escalar ads exitosas: +20% budget en mejor variante,5-Feb,Fabiola,0,3,,Nuevo budget activo,4-Feb,,
30,Publicar testimonial video largo (1-2 min),5-Feb,Fabiola,0,2,,Video en YouTube + redes,4-Feb,,
31,Llamadas semanales a usuarios día 14,6-Feb,Fabiola,0,3,,Feedback consolidado,5-Feb,,
32,Revisar: ¿primeros usuarios usaron farmacia?,6-Feb,Fabiola,0,2,,Reporte uso farmacia,5-Feb,,
33,Primera ronda llamadas terapia (usuarios interesados),7-Feb,Fabiola,0,3,,Sesiones agendadas,6-Feb,,
34,Crear post educativo: Cómo funciona la terapia,7-Feb,Fabiola,0,2,,Post publicado,6-Feb,,
35,Revisar churn: ¿alguien canceló? ¿Por qué?,8-Feb,Fabiola,0,4,,Análisis de churn + plan retención,7-Feb,,
36,Llamar usuarios con baja actividad,8-Feb,Fabiola,0,3,,Plan de re-engagement,7-Feb,,
37,Publicar historia de éxito (usuario real si da permiso),9-Feb,Fabiola,0,2,,Testimonial publicado,8-Feb,,
38,Responder leads fin de semana,9-Feb,Fabiola,0,3,,Leads atendidos,8-Feb,,
39,Llamadas companion semanales,10-Feb,Fabiola,0,3,,~20-30 llamadas,9-Feb,,
40,Tercera ronda llamadas familias México,10-Feb,Fabiola,0,3,,Relación fortalecida,9-Feb,,
41,CHECKPOINT SEMANA 3: ¿30-40 usuarios? ¿<10% churn?,11-Feb,Fabiola,0,4,,Reporte semanal + KPIs,10-Feb,,
42,Decisión: ¿expandir a nuevos estados?,11-Feb,Fabiola,0,3,,Plan geográfico semana 4,10-Feb,,
43,Analizar LTV inicial: ¿usuarios siguen más de 2 semanas?,12-Feb,Fabiola,0,4,,Análisis de retención,11-Feb,,
44,Crear encuesta NPS rápida (WhatsApp),12-Feb,Fabiola,0,2,,Encuesta lista para enviar,11-Feb,,
45,Enviar encuesta NPS a primeros usuarios,13-Feb,Fabiola,0,3,,Responses recopiladas,12-Feb,,
46,Llamadas día 21 a usuarios,13-Feb,Fabiola,0,3,,Feedback consolidado,12-Feb,,
47,Revisar CAC actual vs objetivo ($25-40),14-Feb,Fabiola,0,4,,Análisis CAC + plan optimización,13-Feb,,
48,Ajustar ads según CAC,14-Feb,Fabiola,0,3,,Optimización v2,13-Feb,,
49,Publicar contenido San Valentín: Cuida a quien amas desde lejos,15-Feb,Fabiola,0,2,,Campaña temática,14-Feb,,
50,Segunda ronda terapias agendadas,15-Feb,Fabiola,0,3,,Sesiones confirmadas,14-Feb,,
51,Llamadas companion semanales,16-Feb,Fabiola,0,3,,~40-50 llamadas,15-Feb,,
52,Responder leads fin de semana,16-Feb,Fabiola,0,3,,Leads atendidos,15-Feb,,
53,Cuarta ronda llamadas familias México,17-Feb,Fabiola,0,3,,Engagement mantenido,16-Feb,,
54,Crear post: Testimonial de familia en México,17-Feb,Fabiola,0,2,,Post publicado,16-Feb,,
55,CHECKPOINT MES 1: ¿50-70 usuarios? ¿NPS>40? ¿LTV/CAC>2?,18-Feb,Fabiola,0,4,,Reporte mensual completo,17-Feb,,
56,Decisión: ¿contratar Assistant?,18-Feb,Fabiola,0,3,,Plan de contratación o no,17-Feb,,
57,Expandir ads a Nevada + Illinois hispanics,19-Feb,Fabiola,0,3,,Nuevas campañas activas,18-Feb,,
58,Publicar testimonial video #2,19-Feb,Fabiola,0,2,,Video publicado,18-Feb,,
59,Llamadas día 28 a primeros usuarios,20-Feb,Fabiola,0,3,,Feedback de lealtad,19-Feb,,
60,Revisar: ¿usuarios usan WhatsApp o prefieren llamadas?,20-Feb,Fabiola,0,2,,Análisis de preferencias,19-Feb,,
61,Crear flujo retención: mensaje automático día 25,21-Feb,Fabiola,0,3,,Automation configurada,20-Feb,,
62,Tercera ronda terapias,21-Feb,Fabiola,0,3,,Sesiones agendadas,20-Feb,,
63,Revisar churn semana 5: ¿mejoramos?,22-Feb,Fabiola,0,4,,Análisis comparativo,21-Feb,,
64,Publicar post: ¿Qué incluye telemedicina?,22-Feb,Fabiola,0,2,,Post educativo,21-Feb,,
65,Llamadas companion semanales,23-Feb,Fabiola,0,3,,~60-80 llamadas,22-Feb,,
66,Responder leads fin de semana,23-Feb,Fabiola,0,3,,Leads atendidos,22-Feb,,
67,Quinta ronda llamadas familias México,24-Feb,Fabiola,0,3,,Engagement mantenido,23-Feb,,
68,Crear contenido: Historia familiar real,24-Feb,Fabiola,0,2,,Post emocional,23-Feb,,
69,CHECKPOINT SEMANA 5: ¿70-90 usuarios? ¿Churn<8%?,25-Feb,Fabiola,0,4,,Reporte semanal,24-Feb,,
70,Decisión: ¿doblar budget ads o mantener?,25-Feb,Fabiola,0,3,,Plan financiero semana 6,24-Feb,,
71,Implementar sistema tracking horas trabajo,26-Feb,Fabiola,0,2,,Template tracking listo,25-Feb,,
72,Analizar: ¿cuánto tiempo toma cada onboarding?,26-Feb,Fabiola,0,3,,Benchmark establecido,25-Feb,,
73,Llamadas día 35 a usuarios,27-Feb,Fabiola,0,3,,Feedback consolidado,26-Feb,,
74,Crear template respuestas FAQs,27-Feb,Fabiola,0,2,,Template en Google Doc,26-Feb,,
75,Enviar segunda encuesta NPS,28-Feb,Fabiola,0,3,,Comparación vs mes 1,27-Feb,,
76,Cuarta ronda terapias,28-Feb,Fabiola,0,3,,Sesiones confirmadas,27-Feb,,
77,Revisar métricas ads: ¿estados nuevos funcionan?,1-Mar,Fabiola,0,4,,Análisis geográfico,28-Feb,,
78,Ajustar targeting según performance,1-Mar,Fabiola,0,3,,Optimización v3,28-Feb,,
79,Llamadas companion semanales,2-Mar,Fabiola,0,3,,~80-100 llamadas,1-Mar,,
80,Responder leads fin de semana,2-Mar,Fabiola,0,3,,Leads atendidos,1-Mar,,
81,Sexta ronda llamadas familias México,3-Mar,Fabiola,0,3,,Engagement consolidado,2-Mar,,
82,Publicar testimonial escrito largo,3-Mar,Fabiola,0,2,,Post blog,2-Mar,,
83,CHECKPOINT SEMANA 6: ¿90-110 usuarios? ¿CAC optimizado?,4-Mar,Fabiola,0,4,,Reporte + decisión contratación,3-Mar,,
84,SI contratas: Onboarding Assistant,4-Mar,Fabiola,0,3,,Plan de training,3-Mar,,
85,Training Assistant: herramientas + procesos,5-Mar,Fabiola,0,3,,Assistant capacitado,4-Mar,,
86,Delegar: responder leads básicos,5-Mar,Fabiola,0,2,,Assistant atendiendo soporte,4-Mar,,
87,Llamadas día 42 a usuarios,6-Mar,Fabiola,0,3,,Feedback personalizado,5-Mar,,
88,Assistant: Primera ronda llamadas companion,6-Mar,Assistant,0,3,,20-30 llamadas realizadas,5-Mar,,